Algorithm Name,MAE,MSE,RMSE,Hit-Rate,Novelty,Time Elapsed (seconds),Time Elapsed (minutes)
Random,1.1332948827648057,2.0052125474516647,1.4160552769760313,0.004918032786885246,25.49095685718601,63.91615581512451,1.0652692635854086
KNNBasic,0.7328833647547366,0.9136149260030062,0.9558320595183059,0.0,25.49095685718601,153.1214575767517,2.5520242929458616
SVD,0.6723553189128053,0.7657886275482351,0.875093496460941,0.022950819672131147,22.386074735073027,56.427340030670166,0.9404556671778361
Tuned SVD,0.6688193834508963,0.7599591937289052,0.8717563843923973,0.02459016393442623,21.863719061770034,56.46489953994751,0.9410816589991252
SVDpp,0.6647507270293106,0.753068306665784,0.8677950833381023,0.02459016393442623,22.06012479493196,1335.8282928466797,22.263804880777993
